completed,dropped,mean_score,gender
729,164,2,7.83,Male
730,581,17,7.24,Male
731,502,0,8.94,Male
732,567,0,6.73,Female
733,179,9,6.14,Male
735,114,2,8.51,Male
736,166,1,8.95,Male
738,141,42,7.52,Female
739,359,1,6.59,Female
740,521,32,7.21,Male
741,108,8,8.59,Female
743,572,0,7.9,Male
744,287,32,6.34,Male
746,231,41,5.68,Male
748,433,58,6.81,Non-Binary
750,458,0,6.25,Female
751,542,14,6.06,Male
752,834,1,6.81,Male
754,344,21,6.97,Male
755,793,38,5.99,Male
756,311,14,7.43,Male
757,98,1,7.38,Male
758,145,14,7.78,Female
759,102,5,6.82,Male
760,139,23,6.87,Male
761,197,65,7.03,Male
762,186,27,6.81,Male
763,182,2,8.91,Male
764,77,2,7.84,Male
765,629,33,8.53,Male
766,212,13,8.12,Male
767,43,1,7.05,Female
768,545,47,6.79,Male
769,822,0,7.31,Male
770,155,0,6.86,Male
771,497,29,6.04,Male
773,877,106,7.67,Male
774,375,3,8.63,Male
775,968,48,8.08,Female
776,164,23,6.97,Male
778,465,28,6.73,Male
779,346,20,6.66,Female
780,621,14,6.31,Male
781,83,0,8.13,Male
782,434,7,8.3,Male
784,134,0,7.57,Female
785,298,0,8.25,Male
786,148,11,7.14,Male
788,607,1,7.89,Female
789,277,42,5.82,Male
790,319,9,7.58,Male
792,521,25,8.01,Male
793,194,2,8.44,Male
795,340,0,7.9,Male
796,185,59,7.51,Male
797,498,0,6.76,Male
798,270,5,7.56,Male
801,475,18,7.85,Male
804,150,19,6.41,Male
805,162,31,7.34,Female
806,415,15,8.53,Female
809,302,30,6.94,Male
811,160,0,7.31,Female
813,72,11,7.18,Male
814,70,14,7.04,Male
815,300,9,7.06,Male
816,307,17,6.34,Male
817,91,0,7.72,Male
818,95,1,6.93,Male
820,234,0,8.04,Female
821,227,0,8.09,Male
823,674,53,7.54,Male
824,214,44,6.99,Male
828,273,0,7.97,Male
830,113,7,6.38,Male
831,306,8,7.96,Male
832,53,2,8.0,Male
834,177,0,7.79,Male
835,976,55,5.95,Male
837,148,18,7.07,Male
839,127,6,8.15,Male
840,507,24,7.24,Male
841,175,8,7.37,Male
842,218,17,7.28,Male
843,87,19,7.41,Female
844,717,0,6.66,Female
845,325,170,5.77,Male
847,226,204,7.12,Female
848,161,7,6.46,Male
849,776,80,5.12,Male
850,83,0,7.01,Male
851,5,0,8.57,Female
855,789,52,7.41,Female
856,500,0,8.0,Male
858,343,26,5.82,Male
861,407,0,8.47,Male
862,419,47,5.6,Male
863,211,0,6.9,Male
864,99,12,6.45,Male
867,576,141,6.52,Male
868,286,0,6.65,Male
870,163,4,7.34,Male
871,149,31,7.24,Male
872,604,29,7.58,Male
873,135,16,5.66,Male
874,93,4,8.19,Female
875,376,0,7.99,Male
876,146,62,6.65,Female
877,325,14,9.67,Male
878,591,14,7.91,Male
879,74,26,6.94,Male
880,382,18,6.03,Male
881,356,54,6.03,Male
883,73,0,7.92,Male
884,219,5,6.78,Male
885,74,1,7.88,Female
886,549,8,6.64,Male
887,119,5,8.16,Male
888,212,16,7.97,Male
890,89,23,6.84,Male
891,379,10,8.63,Female
892,409,12,6.72,Male
893,86,3,8.73,Male
894,497,0,7.87,Female
897,352,61,7.18,Male
898,208,0,7.76,Male
899,430,35,7.77,Male
902,733,43,6.93,Male
904,194,20,7.01,Female
905,130,5,8.15,Male
907,717,0,6.35,Male
908,203,21,7.41,Male
909,252,80,7.2,Male
910,103,5,8.04,Male
911,249,8,6.72,Male
912,327,9,7.4,Female
914,871,26,7.08,Male
915,511,171,6.26,Male
916,964,9,7.15,Male
917,536,3,9.23,Female
918,472,27,5.49,Male
920,355,116,6.86,Male
921,71,0,8.66,Male
922,96,3,6.63,Male
924,104,0,7.13,Female
